acctid,state,zip,rollout,cobal,collscr,cs,accessscr,lnacscr,bureauscr,eaglemod,numcalls,numrpcs
3602,SC,29440,Associates,6894,01015518,1,0.1784,-1.72,121,38,160,4
3603,CA,95864,Wells,1914,03013353,3,0.7343,-0.31,139,88,183,9
3604,FL,32444,Discover,2326,03013642,3,0.2220,-1.51,97,72,102,8
3605,RI,02908,Associates,2429,04013027,4,0.1474,-1.91,126,10,48,3
3606,CA,91342,Chase_Rev,6098,09012060,9,0.0193,-3.95,135,41,81,1
3607,NJ,07201,Chase,1955,08000000,8,0.9107,-0.09,132,96,222,1
3608,NY,13207,Discover,2234,04013048,4,0.1421,-1.95,123,72,83,1
3609,CA,93041,Wells,1559,03013644,3,0.2731,-1.3,145,41,55,2
3610,CA,92201,Wells,1972,04013064,4,0.4318,-0.84,100,56,63,2
3611,CA,91739,Wells,1661,01019465,1,0.9334,-0.07,140,43,35,4
3612,AL,35611,Chase,2444,03013519,3,0.2463,-1.4,129,32,64,6
3613,LA,70806,Discover,3358,05012986,5,0.7428,-0.3,130,96,59,2
3614,CA,93449,Wells,3495,02013924,2,0.9911,-0.01,148,86,114,4
3615,WA,98406,Wells,2524,08012296,8,0.8692,-0.14,129,2,13,6
3616,CA,92139,Wells,2157,03013640,3,0.7087,-0.34,130,91,32,5
3617,NJ,08027,Discover,2717,01014769,1,0.7143,-0.34,91,13,44,3
3618,NC,28115,Associates,3587,02013743,2,0.3690,-1,140,15,24,3
3619,TX,76066,Wells,3350,10011613,10,0.6478,-0.43,120,55,93,3
3620,PA,19025,Bank_Of_Am,3071,04013214,4,0.1229,-2.1,134,19,264,2
3621,AK,99835,Bank_Of_Am,777,03013450,3,0.4525,-0.79,115,48,49,1
3622,TN,38119,Associates,4399,02014459,2,0.4335,-0.84,116,72,61,1
3623,KS,66061,Chase,5028,08000000,8,0.1528,-1.88,132,35,31,3
3624,CA,91950,Discover,3204,01016372,1,0.2770,-1.28,133,81,68,4
3625,NY,10473,Discover,3618,02014015,2,0.1676,-1.79,117,57,81,1
3626,LA,70538,Discover,1388,06012766,6,0.4931,-0.71,117,44,58,1
3627,CA,92336,Bank_Of_Am,3144,01019247,1,0.0992,-2.31,122,28,47,3
3628,CT,06355,Discover,3304,02014593,2,0.5744,-0.55,126,65,89,5
3629,NJ,07111,Discover,1805,02013701,2,0.8422,-0.17,145,30,62,2
3630,IL,60139,Discover,2060,01017325,1,0.4339,-0.83,138,63,78,1
3631,NC,27510,Discover,1615,08000000,8,0.2930,-1.23,144,51,61,2
3632,AZ,85034,Wells,5428,05012997,5,0.7882,-0.24,136,61,136,1
3633,PA,15701,Bank_Of_Am,5426,01926513,1,0.2073,-1.57,119,78,119,2
3634,VA,23234,Associates,2650,05013005,5,0.3779,-0.97,103,4,90,1
3635,CA,92301,Wells,1697,03013328,3,0.5775,-0.55,80,49,44,4
3636,TN,37214,Chase_Rev,2611,02014270,2,0.5798,-0.55,105,22,95,4
3637,NY,11434,Discover,8433,01018663,1,0.9769,-0.02,98,15,13,6
3638,KY,40205,Bank_Of_Am,3946,02013823,2,0.3222,-1.13,128,35,54,3
3639,CA,94510,Bank_Of_Am,6352,01018994,1,0.4946,-0.7,95,52,12,1
3640,CA,94561,Chase_Rev,2332,05012832,5,0.7827,-0.25,124,35,326,1
3641,CA,95630,Associates,4941,08012203,8,0.7722,-0.26,131,68,76,3
3642,CT,06460,Associates,367,08012253,8,0.9706,-0.03,87,90,3,2
3643,CA,95476,Wells,982,01019513,1,0.7570,-0.28,128,8,54,5
3644,CA,90029,Bank_Of_Am,2286,07012537,7,0.7984,-0.23,128,6,1,1
3645,OK,74403,Chase,2147,04013103,4,0.4110,-0.89,128,80,58,3
3646,IL,60647,Associates,3366,04013084,4,0.6240,-0.47,105,92,34,1
3647,NJ,07746,Associates,2086,03013430,3,0.8375,-0.18,123,47,101,10
3648,IL,60647,Bank_Of_Am,1655,03013642,3,0.1215,-2.11,126,41,68,2
3649,WV,26426,Discover,2194,07012497,7,0.4171,-0.87,135,47,57,2
3650,VA,20190,Wells,3505,04013145,4,0.8716,-0.14,137,48,164,1
3651,CA,90731,Wells,1142,07012404,7,0.0021,-6.19,124,54,31,5
3652,GA,30736,Associates,4073,09012089,9,0.5984,-0.51,131,85,26,3
3653,IL,61821,Discover,5072,08012312,8,0.7647,-0.27,130,92,135,4
3654,TX,75150,Discover,5591,10011245,10,0.7008,-0.36,107,56,129,2
3655,UT,84720,Bank_Of_Am,6355,10011817,10,0.3514,-1.05,137,43,7,1
3656,CA,90001,Wells,2245,05012845,5,0.3220,-1.13,123,44,79,4
3657,CO,80454,Wells_FIB,448,02014407,2,0.7261,-0.32,124,21,35,1
3658,CA,90023,Bank_Of_Am,1835,01016206,1,0.6002,-0.51,141,73,102,1
3659,TX,77063,Discover,1309,01019411,1,0.7785,-0.25,147,18,90,1
3660,NV,89145,Associates,630,07012496,7,0.2194,-1.52,143,2,71,15
3661,MI,48203,Bank_Of_Am,2946,05012934,5,0.0872,-2.44,137,19,4,2
3662,PA,19124,Associates,1824,02014359,2,0.6033,-0.51,106,50,108,3
3663,CA,95816,Wells,6794,01019257,1,0.7597,-0.27,117,85,65,18
3664,NY,11740,Discover,2129,03013561,3,0.7278,-0.32,144,5,29,10
3665,NJ,07052,Wells,1668,02013775,2,0.9397,-0.06,116,7,61,1
3666,CA,93063,Wells,12978,10011707,10,0.2462,-1.4,120,86,23,3
3667,CA,92626,Wells,1994,03013372,3,0.0971,-2.33,112,71,12,1
3668,GA,30034,Chase,1026,03013581,3,0.9435,-0.06,129,41,50,4
3669,NJ,08723,Discover,3322,05012973,5,0.1697,-1.77,131,94,159,9
3670,AZ,85267,Discover,1794,08012242,8,0.8514,-0.16,133,95,22,4
3671,TN,37090,Wells,3057,01016225,1,0.6330,-0.46,89,53,55,5
3672,MI,49646,Discover,2759,01016981,1,0.4701,-0.75,114,65,80,3
3673,MD,21128,Bank_Of_Am,3781,04013078,4,0.4562,-0.78,88,6,58,3
3674,MI,48234,Chase,4025,06012660,6,0.9682,-0.03,136,48,45,5
3675,MA,02021,Bank_Of_Am,1390,08921253,8,0.1131,-2.18,140,85,2,2
3676,CA,92801,Wells,2484,01014956,1,0.4944,-0.7,91,21,38,3
3677,OK,74066,Discover,1639,01017304,1,0.3004,-1.2,124,45,91,3
3678,NY,13669,Bank_Of_Am,542,04013080,4,0.8598,-0.15,125,17,5,1
3679,KS,66535,Discover,2006,01016998,1,0.8204,-0.2,129,59,91,1
3680,FL,33916,Wells,4315,06012614,6,0.7065,-0.35,112,89,14,1
3681,TX,77588,Discover,2868,09011972,9,0.0100,-4.6,95,58,126,1
3682,IL,60632,Associates,5656,03013398,3,0.1994,-1.61,111,66,48,7
3683,IL,60637,Discover,8570,09011995,9,0.8495,-0.16,107,58,4,2
3684,IN,46807,Chase,2080,03013615,3,0.2403,-1.43,129,9,97,3
3685,CA,92026,Wells,1366,03923599,3,0.7767,-0.25,106,52,28,1
3686,TX,77026,Bank_Of_Am,836,06012577,6,0.5844,-0.54,144,93,95,2
3687,MA,02145,Discover,2934,01016074,1,0.1248,-2.08,110,58,101,5
3688,CA,95819,Bank_Of_Am,975,01015304,1,0.9054,-0.1,126,29,150,7
3689,MN,55901,Associates,730,01928315,1,0.0799,-2.53,121,8,67,1
3690,IL,60707,Discover,5244,05012831,5,0.0717,-2.64,138,60,40,1
3691,CA,90026,Bank_Of_Am,1552,04013150,4,0.1236,-2.09,119,46,43,8
3692,AL,35207,Discover,1585,03013416,3,0.8903,-0.12,129,49,215,6
3693,LA,70634,Chase,5877,08000000,8,0.6218,-0.48,123,83,58,3
3694,TX,79761,Bank_Of_Am,965,02014048,2,0.1997,-1.61,124,24,57,2
3695,NV,89121,Bank_Of_Am,10981,10920257,10,0.5490,-0.6,105,89,19,4
3696,DC,20001,Associates,1000,05012861,5,0.2718,-1.3,115,89,94,1
3697,NC,28395,Wells,5666,03013581,3,0.0847,-2.47,132,97,92,1
3698,CT,06443,Chase,8374,09921163,9,0.2007,-1.61,93,46,252,2
3699,GA,31709,Discover,1575,04013125,4,0.0298,-3.51,121,42,10,4
3700,NC,27511,Discover,2290,02014580,2,0.9414,-0.06,140,29,81,1
3701,TX,77446,Discover,2073,10011349,10,0.8899,-0.12,88,42,6,2
3702,CO,80723,Discover,4768,06012717,6,0.1115,-2.19,143,21,68,1
3703,IN,47807,Associates,992,03013348,3,0.0191,-3.96,124,94,121,5
3704,CA,90292,Chase,2938,05012963,5,0.8181,-0.2,93,72,20,1
3705,CA,94591,Wells,1590,05012977,5,0.2444,-1.41,137,43,6,2
3706,NV,89124,Wells,1421,03923986,3,0.5530,-0.59,112,69,45,5
3707,LA,70056,Chase,2001,03013448,3,0.7579,-0.28,121,46,55,1
3708,LA,70459,Discover,5981,01926524,1,0.8692,-0.14,136,52,16,5
3709,LA,70085,Chase,3976,04013200,4,0.3952,-0.93,98,53,66,2
3710,CA,94608,Bank_Of_Am,878,06012690,6,0.2457,-1.4,110,29,435,2
3711,CA,95210,Bank_Of_Am,1701,01014933,1,0.1873,-1.68,130,27,25,5
3712,AZ,85224,Wells_FIB,2475,01015136,1,0.7414,-0.3,120,42,44,1
3713,CA,91750,Wells,2525,09011973,9,0.6034,-0.51,114,2,39,5
3714,GA,31204,Discover,2645,04013116,4,0.2414,-1.42,123,64,99,3
3715,CA,92882,Wells,2100,04013025,4,0.4937,-0.71,128,81,59,2
3716,CA,95076,Wells,2145,01017682,1,0.2032,-1.59,116,76,15,8
3717,NM,88201,Associates,1118,05923011,5,0.0143,-4.24,131,56,386,1
3718,TX,78374,Discover,7589,10011283,10,0.9503,-0.05,114,39,30,11
3719,TN,37334,Bank_Of_Am,8646,02925245,2,0.9478,-0.05,103,21,413,5
3720,LA,71463,Associates,1584,01017577,1,0.9103,-0.09,145,51,180,6
3721,GA,31047,Discover,2796,01016109,1,0.4921,-0.71,117,14,112,7
3722,IL,60643,Chase_Rev,3455,02014117,2,0.6422,-0.44,145,75,80,2
3723,TN,38128,Associates,4171,06012666,6,0.6213,-0.48,112,94,155,2
3724,OH,45216,Discover,1741,03013381,3,0.1120,-2.19,134,14,38,2
3725,NJ,07080,Chase_Rev,1931,01016312,1,0.1851,-1.69,104,62,67,3
3726,MI,49509,Associates,2691,06012587,6,0.4651,-0.77,110,66,43,2
3727,CA,91789,Bank_Of_Am,1016,07012446,7,0.7385,-0.3,110,10,503,1
3728,WA,99163,Bank_Of_Am,1970,09012084,9,0.0525,-2.95,116,34,1,1
3729,FL,32708,Discover,2653,01015760,1,0.6458,-0.44,114,13,46,4
3730,PA,16510,Chase_Rev,5157,06012691,6,0.7756,-0.25,127,79,36,3
3731,TX,77060,Discover,2034,09012088,9,0.7098,-0.34,134,11,7,1
3732,PA,16125,Bank_Of_Am,7315,05012945,5,0.2005,-1.61,105,30,45,1
3733,CA,91396,Chase,7445,09011925,9,0.1251,-2.08,141,98,36,3
3734,FL,33169,Wells,7465,07012374,7,0.0102,-4.58,117,46,160,4
3735,NY,10012,Associates,692,08000000,8,0.4951,-0.7,106,82,65,11
3736,MS,39209,Associates,971,07012434,7,0.6746,-0.39,131,64,65,3
3737,CA,94089,Wells,1356,06012767,6,0.2189,-1.52,134,24,93,2
3738,SC,29611,Discover,4205,01017177,1,0.6860,-0.38,143,31,219,2
3739,ME,04468,Associates,2278,07012373,7,0.5734,-0.56,117,48,128,15
3740,KY,41030,Associates,1841,07012531,7,0.4601,-0.78,125,99,59,2
3741,CA,90034,Bank_Of_Am,724,05922691,5,0.6414,-0.44,133,88,8,1
3742,MD,21043,Associates,7878,06012721,6,0.7053,-0.35,110,70,40,8
3743,OH,44420,Chase_Rev,7375,08012170,8,0.1614,-1.82,137,3,68,1
3744,TX,77072,Wells,2906,10011737,10,0.5077,-0.68,90,77,103,13
3745,SC,29803,Bank_Of_Am,6987,08012284,8,0.3542,-1.04,145,84,95,2
3746,CA,95204,Wells,884,04013214,4,0.2312,-1.46,99,25,17,2
3747,TX,75001,Wells,1218,02014765,2,0.1102,-2.21,133,17,105,11
3748,OR,97055,Bank_Of_Am,3948,04013095,4,0.1580,-1.85,135,35,146,2
3749,CA,95401,Discover,3870,02014105,2,0.2457,-1.4,143,68,38,2
3750,NY,14075,Associates,2886,04013102,4,0.5094,-0.67,111,22,45,1
3751,IL,61364,Associates,4228,06012729,6,0.5013,-0.69,143,69,75,3
3752,CA,94133,Wells,3473,06012677,6,0.3783,-0.97,94,41,108,3
3753,KY,41175,Discover,1625,05012871,5,0.9268,-0.08,136,74,42,1
3754,MN,56284,Chase_Rev,1977,04013061,4,0.0635,-2.76,148,19,38,1
3755,CO,80840,Discover,1767,04013274,4,0.3251,-1.12,134,60,104,1
3756,FL,33037,Associates,2900,04013286,4,0.8548,-0.16,126,70,60,7
3757,TX,76540,Associates,893,09012054,9,0.9495,-0.05,144,38,1,1
3758,AZ,86503,Wells,1109,08000000,8,0.5736,-0.56,123,75,132,1
3759,CA,93245,Bank_Of_Am,8564,02014050,2,0.4852,-0.72,132,85,92,4
3760,CA,94538,Discover,1589,02925488,2,0.3247,-1.12,111,28,68,4
3761,CA,92337,Bank_Of_Am,6999,01016544,1,0.8021,-0.22,138,59,49,3
3762,CA,92056,Wells,2600,05012996,5,0.3708,-0.99,126,98,16,1
3763,FL,34221,Associates,2482,03013433,3,0.5105,-0.67,128,40,77,12
3764,CO,81001,Associates,6017,07012447,7,0.0502,-2.99,136,35,26,3
3765,CA,90640,Wells,632,02014213,2,0.2595,-1.35,106,92,185,3
3766,NY,11206,Chase_Rev,1835,02014368,2,0.1047,-2.26,107,74,109,1
3767,CO,80015,Discover,6268,08012334,8,0.8108,-0.21,110,11,91,1
3768,CA,94591,Chase,1658,04013216,4,0.1235,-2.09,118,37,18,2
3769,CA,92834,Bank_Of_Am,3541,02014196,2,0.9294,-0.07,142,51,113,1
3770,CA,91342,Associates,2884,02013706,2,0.8531,-0.16,112,20,111,1
3771,TN,38017,Discover,2273,03013595,3,0.2249,-1.49,117,11,225,6
3772,TX,75034,Wells,6408,01015580,1,0.7840,-0.24,92,18,144,5
3773,CO,81001,Chase,1428,06012714,6,0.3998,-0.92,128,1,152,4
3774,IL,62946,Associates,2973,05012861,5,0.4021,-0.91,136,24,132,1
3775,NY,11020,Discover,1860,01018111,1,0.5913,-0.53,140,3,101,2
3776,OR,97031,Discover,4370,07012527,7,0.5708,-0.56,143,75,89,1
3777,MT,59901,Chase,4923,10011753,10,0.1268,-2.07,136,48,54,2
3778,OH,45405,Wells,3820,03013625,3,0.1347,-2,141,86,94,7
3779,NE,68044,Associates,293,02013924,2,0.6623,-0.41,121,20,121,3
3780,TX,76103,Discover,3522,10011652,10,0.2406,-1.42,116,51,31,14
3781,KY,40291,Discover,3478,02013843,2,0.3975,-0.92,145,37,22,1
3782,TN,38555,Discover,4909,07012442,7,0.2768,-1.28,128,51,26,6
3783,MS,38943,Discover,6078,10011674,10,0.9055,-0.1,141,12,195,1
3784,FL,33147,Associates,3650,06012637,6,0.3974,-0.92,128,64,45,11
3785,CA,94521,Wells,4825,06012612,6,0.7287,-0.32,124,62,13,5
3786,MI,48075,Chase_Rev,1316,05012880,5,0.7512,-0.29,135,34,62,1
3787,FL,33177,Associates,1999,06012690,6,0.0490,-3.02,139,51,102,7
3788,OH,43160,Chase_Rev,1873,03013669,3,0.8365,-0.18,118,65,32,1
3789,CT,06351,Bank_Of_Am,3961,05012877,5,0.1493,-1.9,134,58,40,1
3790,PA,17701,Discover,3559,06012697,6,0.9553,-0.05,134,96,81,5
3791,MD,21740,Discover,1599,06012650,6,0.1775,-1.73,123,39,33,1
3792,TX,76543,Wells,4363,09011928,9,0.4229,-0.86,107,85,83,3
3793,KS,67207,Associates,1668,02013773,2,0.2860,-1.25,61,12,103,3
3794,CA,92653,Bank_Of_Am,1332,06012564,6,0.2200,-1.51,107,56,20,2
3795,CA,94568,Bank_Of_Am,1361,01019478,1,0.4959,-0.7,90,15,59,3
3796,NY,11225,Discover,1556,02014339,2,0.5207,-0.65,125,57,124,4
3797,TX,77518,Bank_Of_Am,1948,04013118,4,0.7522,-0.28,119,84,136,5
3798,CO,80234,Discover,3451,05012909,5,0.3681,-1,141,65,119,3
3799,WA,98908,Bank_Of_Am,3448,08012241,8,0.6175,-0.48,121,43,61,2
3800,TX,79907,Chase_Rev,522,04013278,4,0.4777,-0.74,113,95,45,6
3801,MD,20723,Bank_Of_Am,1139,03013350,3,0.3500,-1.05,102,41,131,2
3802,KS,67211,Chase,1184,08000000,8,0.7848,-0.24,149,19,20,4
3803,NV,89030,Discover,5886,10011531,10,0.0087,-4.74,119,8,67,2
3804,CA,94572,Associates,1174,06012679,6,0.9162,-0.09,118,58,61,8
3805,CA,95492,Bank_Of_Am,1077,04013068,4,0.2014,-1.6,116,45,53,3
3806,MO,64506,Discover,3464,07012532,7,0.3012,-1.2,125,45,114,3
3807,CA,92544,Bank_Of_Am,1581,02014039,2,0.5547,-0.59,125,73,63,1
3808,WA,98840,Bank_Of_Am,1926,01015958,1,0.6719,-0.4,108,72,57,1
3809,FL,32065,Associates,3645,01016008,1,0.0810,-2.51,130,16,23,1
3810,VA,23505,Associates,488,02014072,2,0.6561,-0.42,136,97,52,7
3811,FL,33574,Bank_Of_Am,3017,02014228,2,0.2929,-1.23,116,93,305,1
3812,NM,87112,Chase,6089,10011786,10,0.2910,-1.23,132,22,45,1
3813,CA,92407,Wells,1920,05012820,5,0.5207,-0.65,130,2,22,1
3814,CA,92683,Wells,1546,02014635,2,0.9017,-0.1,84,13,12,3
3815,SC,29520,Discover,6123,09011946,9,0.8293,-0.19,107,85,213,4
3816,KS,66102,Chase,2857,04013261,4,0.8010,-0.22,121,93,49,4
3817,TX,79404,Wells,2214,10011831,10,0.5660,-0.57,116,9,149,1
3818,KS,66762,Associates,3254,05012775,5,0.9263,-0.08,137,34,42,4
3819,TN,38114,Chase,1005,03013612,3,0.0093,-4.67,146,9,76,4
3820,CA,90047,Wells,2816,01018908,1,0.5180,-0.66,126,88,22,3
3821,FL,33612,Discover,4242,08012248,8,0.8684,-0.14,129,68,96,4
3822,GA,30102,Discover,1859,04013190,4,0.9503,-0.05,104,35,19,1
3823,TX,77092,Discover,7682,10011151,10,0.2852,-1.25,114,68,46,1
3824,MI,49684,Discover,7512,07012479,7,0.1107,-2.2,121,16,56,1
3825,IA,52806,Associates,887,02014260,2,0.3907,-0.94,130,53,143,4
3826,CT,06606,Discover,1491,08000000,8,0.5610,-0.58,131,84,38,1
3827,TN,37921,Associates,3929,05012818,5,0.8063,-0.22,133,44,41,1
3828,MA,01605,Associates,5101,01014781,1,0.1025,-2.28,143,20,110,1
3829,NJ,08057,Discover,7271,02014436,2,0.5280,-0.64,116,25,60,2
3830,NC,28460,Discover,2022,02013953,2,0.0268,-3.62,123,43,41,2
3831,WA,98271,Bank_Of_Am,5961,01016130,1,0.9760,-0.02,118,45,4,1
3832,CO,80014,Discover,5252,08012179,8,0.5914,-0.53,132,66,225,4
3833,IA,50115,Associates,774,08000000,8,0.6486,-0.43,98,13,46,4
3834,PA,15235,Chase_Rev,6191,08012302,8,0.5503,-0.6,106,7,19,2
3835,TN,37128,Discover,3310,01019455,1,0.7033,-0.35,139,5,5,2
3836,CT,06074,Discover,3642,06012620,6,0.9729,-0.03,121,52,84,1
3837,NJ,08037,Bank_Of_Am,2149,01019498,1,0.2044,-1.59,118,59,49,6
3838,NC,28333,Discover,1988,01016012,1,0.6287,-0.46,109,38,70,10
3839,NJ,08260,Associates,5809,02014117,2,0.6892,-0.37,126,70,53,1
3840,GA,31416,Bank_Of_Am,3457,08012345,8,0.9322,-0.07,140,38,67,6
3841,NY,11106,Chase_Rev,7376,03013407,3,0.8698,-0.14,111,32,51,1
3842,FL,33952,Bank_Of_Am,8168,07012389,7,0.1140,-2.17,95,32,243,2
3843,AZ,85710,Bank_Of_Am,1806,01016431,1,0.5353,-0.62,128,80,133,2
3844,AZ,86001,Wells,1253,01016126,1,0.0305,-3.49,132,67,141,5
3845,TX,76023,Associates,3191,09011882,9,0.7469,-0.29,110,59,84,2
3846,TX,79924,Associates,2710,01926810,1,0.1833,-1.7,115,8,27,7
3847,PA,19140,Associates,1587,03013681,3,0.4460,-0.81,115,99,18,1
3848,SC,29407,Discover,1594,03013337,3,0.9795,-0.02,122,13,144,3
3849,MD,21227,Wells,2502,04013258,4,0.7733,-0.26,142,38,38,1
3850,IL,60201,Chase,1575,03013554,3,0.9107,-0.09,114,28,2,2
3851,CA,95210,Bank_Of_Am,3901,08012343,8,0.1266,-2.07,129,11,328,1
3852,MD,21208,Discover,1925,01016121,1,0.9357,-0.07,119,59,30,1
3853,TX,76009,Discover,2477,04013223,4,0.6573,-0.42,121,6,19,6
3854,CA,92583,Bank_Of_Am,6571,01016413,1,0.5713,-0.56,130,48,18,1
3855,NY,11214,Associates,3826,05012787,5,0.0897,-2.41,128,81,169,3
3856,GA,31602,Associates,1148,03013353,3,0.2750,-1.29,77,75,301,5
3857,NY,10925,Discover,8240,08012208,8,0.6508,-0.43,120,31,103,1
3858,TX,77053,Discover,2788,10011593,10,0.5220,-0.65,98,97,37,1
3859,CA,93302,Discover,5863,10011695,10,0.3614,-1.02,111,49,16,1
3860,CA,90813,Bank_Of_Am,1389,02014730,2,0.8994,-0.11,121,47,27,1
3861,VA,22310,Discover,8184,06012727,6,0.8235,-0.19,104,67,71,2
3862,NY,10463,Chase,1109,04013182,4,0.0670,-2.7,119,97,52,1
3863,CT,06029,Chase_Rev,6171,02013916,2,0.9785,-0.02,122,84,302,10
3864,TX,78244,Chase_Rev,1358,06922429,6,0.2614,-1.34,125,87,43,1
3865,CA,95487,Wells,5540,02014684,2,0.7926,-0.23,119,91,84,1
3866,NC,28377,Discover,3392,01017896,1,0.5845,-0.54,120,18,53,4
3867,TX,76016,Chase_Rev,2654,08000000,8,0.3206,-1.14,142,30,105,8
3868,MO,63121,Associates,3735,02014464,2,0.1299,-2.04,140,21,110,1
3869,LA,70113,Wells,2962,05012963,5,0.4041,-0.91,139,40,97,7
3870,PA,16444,Discover,1572,07922004,7,0.3687,-1,129,49,96,5
3871,MN,55431,Chase,2178,05012888,5,0.4789,-0.74,116,71,72,5
3872,MA,01609,Associates,791,08000000,8,0.0295,-3.52,121,16,47,2
3873,MI,48111,Chase_Rev,2643,04013259,4,0.7824,-0.25,137,10,69,4
3874,FL,34947,Wells,2754,04013055,4,0.3730,-0.99,100,38,43,13
3875,LA,71119,Associates,960,06012700,6,0.7494,-0.29,91,55,101,8
3876,TX,78501,Discover,7960,10011164,10,0.8828,-0.12,142,15,65,2
3877,LA,71037,Bank_Of_Am,2656,02925347,2,0.6154,-0.49,118,52,63,7
3878,GA,31410,Associates,5530,10011825,10,0.6980,-0.36,133,72,34,3
3879,TX,75238,Discover,5588,06012678,6,0.3423,-1.07,117,80,27,1
3880,CA,90022,Wells,1182,06012697,6,0.7873,-0.24,113,24,54,3
3881,VA,23185,Discover,3210,02013931,2,0.0026,-5.95,145,63,35,4
3882,FL,33055,Wells,376,01016927,1,0.4297,-0.84,69,57,132,2
3883,CA,95966,Wells,2032,03013358,3,0.7201,-0.33,116,48,96,5
3884,FL,32218,Chase,6051,07012464,7,0.2344,-1.45,110,59,2,1
3885,UT,84106,Bank_Of_Am,695,03013341,3,0.6593,-0.42,148,65,200,2
3886,NJ,07306,Discover,3253,06922400,6,0.1718,-1.76,115,69,216,4
3887,PA,19606,Discover,553,02014148,2,0.5315,-0.63,123,71,167,1
3888,TX,77568,Discover,1002,07012498,7,0.4847,-0.72,101,34,95,4
3889,LA,71439,Chase,3350,05012888,5,0.8819,-0.13,121,94,31,3
3890,PA,19383,Discover,959,07920000,7,0.8293,-0.19,136,70,169,2
3891,MS,38671,Discover,4079,06922442,6,0.8806,-0.13,129,33,83,1
3892,IL,60015,Discover,4101,03013523,3,0.7471,-0.29,92,13,64,9
3893,NE,68131,Chase,3208,08000000,8,0.3250,-1.12,139,64,31,2
3894,CA,94589,Wells,2157,05013004,5,0.4445,-0.81,142,19,37,2
3895,CA,90221,Associates,5593,09012033,9,0.1881,-1.67,147,66,72,6
3896,CA,91901,Wells,1391,08012340,8,0.8848,-0.12,133,51,10,2
3897,NJ,08060,Chase_Bony,7845,04013018,4,0.2918,-1.23,92,13,54,1
3898,CA,95348,Discover,1704,03013444,3,0.4284,-0.85,130,21,55,1
3899,AL,35186,Wells,2174,04013201,4,0.3741,-0.98,103,73,85,10
3900,MA,02746,Discover,2529,04013154,4,0.7458,-0.29,109,67,107,5
3901,CA,91331,Discover,5031,08012200,8,0.3503,-1.05,128,32,51,1
3902,AZ,85302,Bank_Of_Am,1349,06012565,6,0.3910,-0.94,100,56,42,2
3903,FL,33462,Chase,3624,04923245,4,0.8060,-0.22,105,28,49,2
3904,CA,91325,Discover,1634,07012380,7,0.3509,-1.05,143,34,105,2
3905,NY,10469,Associates,6578,02014140,2,0.3271,-1.12,106,72,29,13
3906,MA,01027,Discover,6097,07012405,7,0.8144,-0.21,109,85,43,1
