customerid,credit,current_account,duration,previous_credit,purpose,amount,value_saving_stocks,tenure,install_rate,marital_status_sex,debtor_guarantors,living_at_current_address,valueable_assets,age,other_credits,apartment_type,credits_at_bank,occupation,num_dependents,broadband,foreign_worker
1011,good,more_than_200_DM,from_12_to_18,no_previous_credit_or_paid_back_all_previous_credits,used_car,from_1.5K_to_2.5K,from_100_to_500_DM,from_1_to_4_years,from_20_to_35_percent,female_not_single_or_male_single,none,more_than_7_years,saving_contract_or_life_insurance,less_than_25,no_further_running_credits,free_apartment,one,skilled_worker,three_or_more,no,yes
1012,bad,no_balance_or_debit,from_18_to_24,no_previous_credit_or_paid_back_all_previous_credits,other,from_2.5K_to_5K,not_available_or_no_savings,from_1_to_4_years,from_20_to_25_percent,female_not_single_or_male_single,none,more_than_7_years,car_or_other,less_than_25,no_further_running_credits,free_apartment,one,unskilled_with_permanent_residence,three_or_more,yes,yes
1013,bad,no_running_account,from_18_to_24,no_previous_credit_or_paid_back_all_previous_credits,used_car,from_2.5K_to_5K,more_than_1000_DM,from_1_to_4_years,from_20_to_35_percent,female_single,none,more_than_7_years,saving_contract_or_life_insurance,less_than_25,no_further_running_credits,rented_flat,one,skilled_worker,three_or_more,no,yes
1014,good,more_than_200_DM,from_12_to_18,no_previous_credit_or_paid_back_all_previous_credits,other,from_2.5K_to_5K,from_500_to_1000_DM,from_4_to_7_years,from_20_to_35_percent,female_not_single_or_male_single,none,from_4_to_7_years,saving_contract_or_life_insurance,less_than_25,no_further_running_credits,free_apartment,one,skilled_worker,three_or_more,no,yes
1015,good,0_to_200_DM,from_18_to_24,paid_back_previous_credits_at_this_bank,used_car,from_2.5K_to_5K,more_than_1000_DM,more_than_7_years,less_than_20_percent,male_married_or_widowed,Co-Applicant,more_than_7_years,house_or_land,less_than_25,no_further_running_credits,free_apartment,two_or_three,skilled_worker,three_or_more,no,yes
1016,good,more_than_200_DM,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,new_car,from_2.5K_to_5K,more_than_1000_DM,less_than_1_year,more_than_35_percent,female_not_single_or_male_single,none,more_than_7_years,saving_contract_or_life_insurance,less_than_25,no_further_running_credits,free_apartment,one,skilled_worker,three_or_more,no,yes
1017,good,more_than_200_DM,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,furniture,from_0.5K_to_1K,more_than_1000_DM,from_1_to_4_years,less_than_20_percent,female_not_single_or_male_single,none,from_1_to_4_years,saving_contract_or_life_insurance,less_than_25,no_further_running_credits,rented_flat,one,skilled_worker,three_or_more,no,yes
1018,bad,no_running_account,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,vacation,from_0.5K_to_1K,not_available_or_no_savings,from_4_to_7_years,less_than_20_percent,female_single,none,more_than_7_years,car_or_other,less_than_25,no_further_running_credits,free_apartment,one,skilled_worker,three_or_more,no,yes
1019,good,no_running_account,from_12_to_18,paid_back_previous_credits_at_this_bank,used_car,from_1K_to_1.5K,not_available_or_no_savings,less_than_1_year,less_than_20_percent,female_not_single_or_male_single,none,more_than_7_years,car_or_other,less_than_25,no_further_running_credits,free_apartment,one,skilled_worker,three_or_more,no,yes
1020,good,more_than_200_DM,from_12_to_18,no_previous_credit_or_paid_back_all_previous_credits,furniture,from_1K_to_1.5K,more_than_1000_DM,less_than_1_year,less_than_20_percent,female_not_single_or_male_single,none,from_1_to_4_years,not_available_or_no_assets,less_than_25,no_further_running_credits,free_apartment,one,skilled_worker,three_or_more,yes,yes
1021,good,no_running_account,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,used_car,from_1K_to_1.5K,not_available_or_no_savings,from_1_to_4_years,less_than_20_percent,male_married_or_widowed,Guarantor,less_than_1_year,car_or_other,less_than_25,no_further_running_credits,rented_flat,one,unskilled_with_permanent_residence,three_or_more,no,yes
1022,good,more_than_200_DM,<06,no_previous_credit_or_paid_back_all_previous_credits,used_car,from_1.5K_to_2.5K,not_available_or_no_savings,from_1_to_4_years,more_than_35_percent,female_single,none,from_1_to_4_years,car_or_other,less_than_25,no_further_running_credits,free_apartment,one,skilled_worker,three_or_more,no,yes
1023,bad,no_running_account,from_18_to_24,no_previous_credit_or_paid_back_all_previous_credits,furniture,from_1.5K_to_2.5K,not_available_or_no_savings,from_1_to_4_years,from_20_to_35_percent,male_married_or_widowed,none,more_than_7_years,not_available_or_no_assets,less_than_25,no_further_running_credits,free_apartment,one,unskilled_with_permanent_residence,up_to_two,no,yes
1024,bad,more_than_200_DM,from_24_to_30,no_previous_credit_or_paid_back_all_previous_credits,other,from_2.5K_to_5K,not_available_or_no_savings,from_1_to_4_years,from_20_to_25_percent,female_not_single_or_male_single,none,from_4_to_7_years,not_available_or_no_assets,less_than_25,no_further_running_credits,free_apartment,one,skilled_worker,three_or_more,no,yes
1025,good,no_balance_or_debit,from_12_to_18,no_previous_credit_or_paid_back_all_previous_credits,new_car,from_2.5K_to_5K,not_available_or_no_savings,from_1_to_4_years,more_than_35_percent,female_single,none,from_4_to_7_years,saving_contract_or_life_insurance,less_than_25,no_further_running_credits,free_apartment,one,skilled_worker,three_or_more,yes,yes
1026,bad,no_balance_or_debit,from_42_to_48,no_previous_credit_or_paid_back_all_previous_credits,furniture,from_2.5K_to_5K,less_than_100_DM,from_1_to_4_years,less_than_20_percent,male_married_or_widowed,Guarantor,more_than_7_years,car_or_other,less_than_25,no_further_running_credits,free_apartment,one,skilled_worker,three_or_more,no,yes
1027,bad,no_balance_or_debit,from_24_to_30,no_previous_credit_or_paid_back_all_previous_credits,used_car,from_2.5K_to_5K,less_than_100_DM,from_1_to_4_years,from_20_to_35_percent,female_not_single_or_male_single,Co-Applicant,more_than_7_years,saving_contract_or_life_insurance,less_than_25,at_other_banks,free_apartment,one,skilled_worker,three_or_more,no,yes
1028,good,no_running_account,from_18_to_24,no_previous_credit_or_paid_back_all_previous_credits,retraining,from_5K_to_7.5K,not_available_or_no_savings,from_1_to_4_years,from_20_to_35_percent,female_single,none,from_1_to_4_years,saving_contract_or_life_insurance,less_than_25,at_department_stores,rented_flat,one,unskilled_with_permanent_residence,three_or_more,no,yes
1029,good,more_than_200_DM,>54,no_previous_credit_or_paid_back_all_previous_credits,furniture,from_10K_to_15K,less_than_100_DM,from_4_to_7_years,from_20_to_35_percent,female_not_single_or_male_single,none,more_than_7_years,not_available_or_no_assets,less_than_25,no_further_running_credits,rented_flat,one,skilled_worker,three_or_more,yes,yes
1030,good,more_than_200_DM,>54,no_problems_current_credit_at_bank,furniture,from_15K_to_20K,not_available_or_no_savings,from_4_to_7_years,from_20_to_35_percent,male_married_or_widowed,none,more_than_7_years,saving_contract_or_life_insurance,less_than_25,no_further_running_credits,rented_flat,two_or_three,skilled_worker,three_or_more,yes,yes
1031,good,no_balance_or_debit,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,other,less_than_0.5K,not_available_or_no_savings,from_1_to_4_years,less_than_20_percent,female_single,none,more_than_7_years,not_available_or_no_assets,less_than_25,no_further_running_credits,free_apartment,one,unskilled_with_permanent_residence,three_or_more,no,yes
1032,bad,more_than_200_DM,from_12_to_18,no_previous_credit_or_paid_back_all_previous_credits,furniture,less_than_0.5K,not_available_or_no_savings,unemployed,from_20_to_25_percent,female_not_single_or_male_single,Co-Applicant,more_than_7_years,not_available_or_no_assets,less_than_25,no_further_running_credits,free_apartment,one,skilled_worker,three_or_more,no,yes
1033,good,no_balance_or_debit,<06,no_previous_credit_or_paid_back_all_previous_credits,household_appliances,less_than_0.5K,not_available_or_no_savings,less_than_1_year,from_20_to_25_percent,female_single,none,less_than_1_year,car_or_other,less_than_25,no_further_running_credits,rented_flat,one,unskilled_with_permanent_residence,three_or_more,no,yes
1034,bad,no_running_account,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,radio_television,from_0.5K_to_1K,less_than_100_DM,unemployed,less_than_20_percent,female_not_single_or_male_single,none,from_4_to_7_years,car_or_other,less_than_25,no_further_running_credits,rented_flat,one,skilled_worker,three_or_more,no,yes
1035,good,no_running_account,from_12_to_18,no_previous_credit_or_paid_back_all_previous_credits,retraining,from_0.5K_to_1K,not_available_or_no_savings,from_1_to_4_years,less_than_20_percent,female_not_single_or_male_single,none,more_than_7_years,car_or_other,less_than_25,no_further_running_credits,rented_flat,one,unskilled_with_permanent_residence,three_or_more,no,yes
1036,good,no_balance_or_debit,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,other,from_1K_to_1.5K,from_500_to_1000_DM,from_1_to_4_years,less_than_20_percent,female_single,none,less_than_1_year,not_available_or_no_assets,less_than_25,no_further_running_credits,rented_flat,one,skilled_worker,three_or_more,no,yes
1037,good,more_than_200_DM,from_06_to_12,paid_back_previous_credits_at_this_bank,used_car,from_1K_to_1.5K,not_available_or_no_savings,less_than_1_year,from_20_to_35_percent,female_not_single_or_male_single,none,more_than_7_years,car_or_other,less_than_25,no_further_running_credits,free_apartment,two_or_three,unskilled_with_permanent_residence,three_or_more,no,yes
1038,bad,no_balance_or_debit,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,furniture,from_1K_to_1.5K,not_available_or_no_savings,less_than_1_year,from_20_to_35_percent,male_married_or_widowed,none,less_than_1_year,saving_contract_or_life_insurance,less_than_25,no_further_running_credits,rented_flat,one,skilled_worker,three_or_more,no,yes
1039,bad,no_running_account,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,furniture,from_1K_to_1.5K,not_available_or_no_savings,less_than_1_year,from_20_to_25_percent,female_not_single_or_male_single,none,more_than_7_years,car_or_other,less_than_25,no_further_running_credits,free_apartment,one,skilled_worker,three_or_more,no,yes
1040,bad,more_than_200_DM,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,furniture,from_1K_to_1.5K,not_available_or_no_savings,from_4_to_7_years,less_than_20_percent,male_married_or_widowed,none,from_1_to_4_years,saving_contract_or_life_insurance,less_than_25,no_further_running_credits,rented_flat,one,skilled_worker,three_or_more,no,yes
1041,good,no_balance_or_debit,from_12_to_18,no_previous_credit_or_paid_back_all_previous_credits,household_appliances,from_1.5K_to_2.5K,less_than_100_DM,from_1_to_4_years,less_than_20_percent,male_married_or_widowed,Guarantor,from_1_to_4_years,not_available_or_no_assets,less_than_25,no_further_running_credits,rented_flat,one,skilled_worker,three_or_more,no,yes
1042,good,no_balance_or_debit,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,furniture,from_1.5K_to_2.5K,not_available_or_no_savings,from_1_to_4_years,more_than_35_percent,female_not_single_or_male_single,none,less_than_1_year,saving_contract_or_life_insurance,less_than_25,no_further_running_credits,rented_flat,one,skilled_worker,three_or_more,yes,yes
1043,bad,no_balance_or_debit,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,furniture,from_1.5K_to_2.5K,not_available_or_no_savings,less_than_1_year,less_than_20_percent,female_not_single_or_male_single,none,from_1_to_4_years,saving_contract_or_life_insurance,less_than_25,no_further_running_credits,rented_flat,one,skilled_worker,three_or_more,yes,yes
1044,bad,more_than_200_DM,from_12_to_18,no_problems_current_credit_at_bank,used_car,from_1.5K_to_2.5K,not_available_or_no_savings,from_4_to_7_years,less_than_20_percent,female_not_single_or_male_single,none,less_than_1_year,not_available_or_no_assets,less_than_25,no_further_running_credits,rented_flat,one,skilled_worker,three_or_more,no,yes
1045,good,no_running_account,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,used_car,from_1.5K_to_2.5K,not_available_or_no_savings,less_than_1_year,less_than_20_percent,female_not_single_or_male_single,none,less_than_1_year,saving_contract_or_life_insurance,less_than_25,no_further_running_credits,free_apartment,one,skilled_worker,three_or_more,no,yes
1046,bad,no_balance_or_debit,from_18_to_24,no_previous_credit_or_paid_back_all_previous_credits,furniture,from_1.5K_to_2.5K,not_available_or_no_savings,less_than_1_year,more_than_35_percent,female_single,none,less_than_1_year,car_or_other,less_than_25,no_further_running_credits,rented_flat,one,skilled_worker,three_or_more,yes,yes
1047,good,more_than_200_DM,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,used_car,from_1.5K_to_2.5K,less_than_100_DM,less_than_1_year,from_20_to_35_percent,female_not_single_or_male_single,none,more_than_7_years,car_or_other,less_than_25,no_further_running_credits,free_apartment,one,skilled_worker,three_or_more,no,yes
1048,bad,no_running_account,from_12_to_18,no_previous_credit_or_paid_back_all_previous_credits,used_car,from_1.5K_to_2.5K,not_available_or_no_savings,from_1_to_4_years,from_20_to_35_percent,male_married_or_widowed,none,from_1_to_4_years,saving_contract_or_life_insurance,less_than_25,no_further_running_credits,rented_flat,one,skilled_worker,three_or_more,no,yes
1049,good,no_running_account,from_18_to_24,problematic_running_account,used_car,from_1.5K_to_2.5K,from_100_to_500_DM,from_1_to_4_years,less_than_20_percent,male_married_or_widowed,none,more_than_7_years,not_available_or_no_assets,less_than_25,at_department_stores,rented_flat,one,skilled_worker,three_or_more,yes,yes
1050,good,no_running_account,from_18_to_24,problematic_running_account,used_car,from_2.5K_to_5K,from_100_to_500_DM,from_1_to_4_years,less_than_20_percent,male_married_or_widowed,none,more_than_7_years,not_available_or_no_assets,less_than_25,at_department_stores,rented_flat,one,skilled_worker,three_or_more,yes,yes
1051,bad,no_balance_or_debit,from_18_to_24,no_previous_credit_or_paid_back_all_previous_credits,furniture,from_2.5K_to_5K,less_than_100_DM,less_than_1_year,from_20_to_25_percent,female_single,none,from_1_to_4_years,saving_contract_or_life_insurance,less_than_25,no_further_running_credits,free_apartment,one,skilled_worker,three_or_more,yes,yes
1052,good,no_running_account,from_18_to_24,no_previous_credit_or_paid_back_all_previous_credits,used_car,from_2.5K_to_5K,not_available_or_no_savings,less_than_1_year,less_than_20_percent,male_married_or_widowed,none,less_than_1_year,house_or_land,less_than_25,at_other_banks,owner_occupied_flat,one,skilled_worker,three_or_more,no,yes
1053,good,no_running_account,from_18_to_24,problematic_running_account,new_car,from_2.5K_to_5K,not_available_or_no_savings,from_1_to_4_years,more_than_35_percent,female_not_single_or_male_single,Guarantor,more_than_7_years,saving_contract_or_life_insurance,less_than_25,at_other_banks,free_apartment,one,skilled_worker,three_or_more,no,no
1054,good,no_running_account,from_12_to_18,no_previous_credit_or_paid_back_all_previous_credits,used_car,from_2.5K_to_5K,not_available_or_no_savings,less_than_1_year,more_than_35_percent,female_not_single_or_male_single,none,more_than_7_years,saving_contract_or_life_insurance,less_than_25,no_further_running_credits,free_apartment,one,skilled_worker,three_or_more,no,yes
1055,good,no_balance_or_debit,from_24_to_30,no_previous_credit_or_paid_back_all_previous_credits,used_car,from_2.5K_to_5K,not_available_or_no_savings,less_than_1_year,from_20_to_35_percent,female_single,none,less_than_1_year,car_or_other,less_than_25,no_further_running_credits,rented_flat,one,skilled_worker,three_or_more,no,yes
1056,good,no_running_account,from_12_to_18,no_previous_credit_or_paid_back_all_previous_credits,other,from_2.5K_to_5K,not_available_or_no_savings,unemployed,more_than_35_percent,male_married_or_widowed,none,more_than_7_years,house_or_land,less_than_25,no_further_running_credits,owner_occupied_flat,one,skilled_worker,three_or_more,no,yes
1057,bad,no_balance_or_debit,from_42_to_48,no_previous_credit_or_paid_back_all_previous_credits,furniture,from_5K_to_7.5K,not_available_or_no_savings,from_1_to_4_years,from_20_to_35_percent,female_not_single_or_male_single,none,from_1_to_4_years,not_available_or_no_assets,less_than_25,no_further_running_credits,rented_flat,one,skilled_worker,three_or_more,no,yes
1058,good,0_to_200_DM,from_12_to_18,no_previous_credit_or_paid_back_all_previous_credits,repair,less_than_0.5K,not_available_or_no_savings,less_than_1_year,less_than_20_percent,female_not_single_or_male_single,none,more_than_7_years,car_or_other,less_than_25,no_further_running_credits,free_apartment,one,skilled_worker,three_or_more,yes,yes
1059,bad,no_running_account,<06,no_previous_credit_or_paid_back_all_previous_credits,repair,less_than_0.5K,not_available_or_no_savings,less_than_1_year,less_than_20_percent,female_not_single_or_male_single,none,more_than_7_years,car_or_other,less_than_25,no_further_running_credits,rented_flat,one,skilled_worker,three_or_more,no,yes
1060,good,more_than_200_DM,<06,no_previous_credit_or_paid_back_all_previous_credits,used_car,from_0.5K_to_1K,not_available_or_no_savings,less_than_1_year,more_than_35_percent,female_not_single_or_male_single,none,from_4_to_7_years,not_available_or_no_assets,less_than_25,no_further_running_credits,free_apartment,one,unskilled_with_permanent_residence,up_to_two,no,yes
1061,good,more_than_200_DM,<06,no_previous_credit_or_paid_back_all_previous_credits,household_appliances,from_0.5K_to_1K,from_100_to_500_DM,from_4_to_7_years,from_20_to_35_percent,female_single,none,more_than_7_years,not_available_or_no_assets,less_than_25,no_further_running_credits,free_apartment,one,unskilled_with_permanent_residence,three_or_more,no,yes
1062,bad,no_balance_or_debit,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,other,from_0.5K_to_1K,less_than_100_DM,less_than_1_year,less_than_20_percent,female_not_single_or_male_single,none,from_1_to_4_years,car_or_other,less_than_25,at_other_banks,rented_flat,one,unskilled_with_permanent_residence,three_or_more,no,yes
1063,good,no_balance_or_debit,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,retraining,from_0.5K_to_1K,less_than_100_DM,from_4_to_7_years,from_20_to_35_percent,female_not_single_or_male_single,none,more_than_7_years,not_available_or_no_assets,less_than_25,no_further_running_credits,free_apartment,one,unskilled_with_permanent_residence,three_or_more,no,yes
1064,good,no_balance_or_debit,from_12_to_18,paid_back_previous_credits_at_this_bank,furniture,from_0.5K_to_1K,not_available_or_no_savings,less_than_1_year,less_than_20_percent,male_married_or_widowed,Guarantor,more_than_7_years,not_available_or_no_assets,less_than_25,no_further_running_credits,rented_flat,two_or_three,skilled_worker,three_or_more,no,yes
1065,bad,no_running_account,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,other,from_0.5K_to_1K,more_than_1000_DM,from_1_to_4_years,less_than_20_percent,female_single,none,from_1_to_4_years,saving_contract_or_life_insurance,less_than_25,no_further_running_credits,rented_flat,one,skilled_worker,three_or_more,no,yes
1066,bad,no_running_account,from_12_to_18,no_previous_credit_or_paid_back_all_previous_credits,other,from_0.5K_to_1K,not_available_or_no_savings,less_than_1_year,more_than_35_percent,female_not_single_or_male_single,none,from_1_to_4_years,saving_contract_or_life_insurance,less_than_25,no_further_running_credits,rented_flat,one,unskilled_with_permanent_residence,three_or_more,no,yes
1067,good,more_than_200_DM,from_06_to_12,paid_back_previous_credits_at_this_bank,household_appliances,from_0.5K_to_1K,more_than_1000_DM,from_4_to_7_years,less_than_20_percent,female_not_single_or_male_single,none,more_than_7_years,not_available_or_no_assets,less_than_25,no_further_running_credits,rented_flat,two_or_three,skilled_worker,three_or_more,no,yes
1068,good,no_balance_or_debit,from_06_to_12,problematic_running_account,furniture,from_1K_to_1.5K,not_available_or_no_savings,from_1_to_4_years,less_than_20_percent,male_married_or_widowed,none,more_than_7_years,not_available_or_no_assets,less_than_25,at_department_stores,rented_flat,one,unskilled_with_permanent_residence,three_or_more,no,yes
1069,good,no_running_account,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,repair,from_1K_to_1.5K,more_than_1000_DM,from_1_to_4_years,less_than_20_percent,female_not_single_or_male_single,none,more_than_7_years,car_or_other,less_than_25,at_other_banks,free_apartment,one,skilled_worker,three_or_more,yes,yes
1070,bad,no_running_account,from_12_to_18,no_previous_credit_or_paid_back_all_previous_credits,other,from_1K_to_1.5K,not_available_or_no_savings,less_than_1_year,less_than_20_percent,female_not_single_or_male_single,none,from_4_to_7_years,saving_contract_or_life_insurance,less_than_25,no_further_running_credits,free_apartment,one,skilled_worker,three_or_more,yes,yes
1071,good,more_than_200_DM,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,radio_television,from_1K_to_1.5K,not_available_or_no_savings,less_than_1_year,more_than_35_percent,female_not_single_or_male_single,none,more_than_7_years,not_available_or_no_assets,less_than_25,no_further_running_credits,free_apartment,one,skilled_worker,three_or_more,yes,yes
1072,bad,no_balance_or_debit,from_18_to_24,no_previous_credit_or_paid_back_all_previous_credits,other,from_1K_to_1.5K,not_available_or_no_savings,less_than_1_year,less_than_20_percent,male_married_or_widowed,none,from_1_to_4_years,not_available_or_no_assets,less_than_25,at_other_banks,rented_flat,one,unskilled_with_permanent_residence,three_or_more,no,yes
1073,good,0_to_200_DM,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,used_car,from_1K_to_1.5K,not_available_or_no_savings,less_than_1_year,less_than_20_percent,female_not_single_or_male_single,none,from_1_to_4_years,car_or_other,less_than_25,no_further_running_credits,rented_flat,one,skilled_worker,three_or_more,no,yes
1074,good,0_to_200_DM,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,furniture,from_1K_to_1.5K,not_available_or_no_savings,from_1_to_4_years,from_20_to_25_percent,female_single,none,more_than_7_years,not_available_or_no_assets,less_than_25,no_further_running_credits,free_apartment,one,skilled_worker,three_or_more,no,yes
1075,good,no_running_account,<06,no_previous_credit_or_paid_back_all_previous_credits,new_car,from_1K_to_1.5K,from_100_to_500_DM,unemployed,more_than_35_percent,female_not_single_or_male_single,none,from_1_to_4_years,car_or_other,less_than_25,no_further_running_credits,free_apartment,one,unemployed_or_unskilled_with_no_permanent_residence,three_or_more,yes,yes
1076,bad,no_running_account,from_18_to_24,no_previous_credit_or_paid_back_all_previous_credits,other,from_1K_to_1.5K,not_available_or_no_savings,from_4_to_7_years,less_than_20_percent,female_not_single_or_male_single,none,more_than_7_years,saving_contract_or_life_insurance,less_than_25,no_further_running_credits,free_apartment,two_or_three,skilled_worker,three_or_more,no,yes
1077,good,no_balance_or_debit,from_12_to_18,no_previous_credit_or_paid_back_all_previous_credits,furniture,from_1K_to_1.5K,more_than_1000_DM,less_than_1_year,less_than_20_percent,male_married_or_widowed,none,less_than_1_year,car_or_other,less_than_25,no_further_running_credits,rented_flat,one,skilled_worker,three_or_more,no,yes
1078,good,no_running_account,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,furniture,from_1K_to_1.5K,not_available_or_no_savings,from_1_to_4_years,less_than_20_percent,female_not_single_or_male_single,none,less_than_1_year,saving_contract_or_life_insurance,less_than_25,at_other_banks,rented_flat,one,skilled_worker,three_or_more,no,yes
1079,bad,no_balance_or_debit,from_06_to_12,no_previous_credit_or_paid_back_all_previous_credits,furniture,from_1.5K_to_2.5K,not_available_or_no_savings,less_than_1_year,more_than_35_percent,female_single,none,less_than_1_year,not_available_or_no_assets,less_than_25,no_further_running_credits,free_apartment,one,skilled_worker,three_or_more,no,yes
1080,good,no_balance_or_debit,from_18_to_24,no_problems_current_credit_at_bank,furniture,from_1.5K_to_2.5K,less_than_100_DM,from_4_to_7_years,from_20_to_25_percent,female_not_single_or_male_single,none,from_1_to_4_years,car_or_other,less_than_25,no_further_running_credits,free_apartment,two_or_three,skilled_worker,three_or_more,yes,yes
1081,bad,no_running_account,from_42_to_48,no_previous_credit_or_paid_back_all_previous_credits,furniture,from_1.5K_to_2.5K,not_available_or_no_savings,from_1_to_4_years,less_than_20_percent,male_married_or_widowed,none,more_than_7_years,house_or_land,less_than_25,no_further_running_credits,owner_occupied_flat,one,skilled_worker,three_or_more,yes,yes
1082,good,no_running_account,from_12_to_18,no_previous_credit_or_paid_back_all_previous_credits,furniture,from_1.5K_to_2.5K,more_than_1000_DM,from_4_to_7_years,from_20_to_35_percent,female_single,none,more_than_7_years,saving_contract_or_life_insurance,less_than_25,no_further_running_credits,free_apartment,two_or_three,unskilled_with_permanent_residence,three_or_more,no,yes
1083,bad,more_than_200_DM,from_12_to_18,no_previous_credit_or_paid_back_all_previous_credits,household_appliances,from_1.5K_to_2.5K,not_available_or_no_savings,less_than_1_year,less_than_20_percent,female_not_single_or_male_single,none,more_than_7_years,not_available_or_no_assets,less_than_25,no_further_running_credits,rented_flat,one,skilled_worker,three_or_more,no,yes
1084,good,0_to_200_DM,from_12_to_18,no_previous_credit_or_paid_back_all_previous_credits,other,from_1.5K_to_2.5K,not_available_or_no_savings,more_than_7_years,from_20_to_25_percent,female_not_single_or_male_single,none,from_1_to_4_years,saving_contract_or_life_insurance,less_than_25,no_further_running_credits,rented_flat,one,executive,three_or_more,no,yes
